QID,Miejscowosc,Description,Latitude,Longitude
"Q146332","Oharewicze","miejscowość (Białoruś) obwód brzeski [52°46'15' N, 26°31'30' E]",52.770833333333336,26.525
"Q146333","Olmany","miejscowość (Białoruś) obwód brzeski [51°48'30' N, 27°04'00' E]",51.80833333333333,27.066666666666666
"Q146336","Opol","miejscowość (Białoruś) obwód brzeski [52°19'30' N, 25°26'10' E]",52.325,25.43611111111111
"Q146337","Orańczyce","miejscowość (Białoruś) obwód brzeski [52°27'45' N, 24°32'00' E]",52.4625,24.533333333333335
"Q146342","Ostromeczewo","miejscowość (Białoruś) obwód brzeski [52°16'00' N, 23°35'20' E]",52.266666666666666,23.58888888888889
"Q146340","Osownica","miejscowość (Białoruś) obwód brzeski [52°17'45' N, 25°38'05' E]",52.295833333333334,25.634722222222223
"Q146341","Ostromecz","miejscowość (Białoruś) obwód brzeski [52°16'30' N, 24°28'00' E]",52.275,24.466666666666665
"Q146346","Oziaty","miejscowość (Białoruś) obwód brzeski [52°05'55' N, 24°09'00' E]",52.09861111111111,24.15
"Q146344","Ośnieżyce","miejscowość (Białoruś) obwód brzeski [52°11'00' N, 26°07'50' E]",52.18333333333333,26.130555555555556
"Q146347","Pahraniczna","miejscowość (Białoruś) obwód brzeski [52°27'10' N, 23°22'10' E]",52.452777777777776,23.369444444444444
"Q146347","Hola","miejscowość (Białoruś) obwód brzeski [52°27'10' N, 23°22'10' E]",52.452777777777776,23.369444444444444
"Q146345","Ozdamicze","miejscowość (Białoruś) obwód brzeski [52°01'10' N, 27°29'00' E]",52.019444444444446,27.483333333333334
"Q146348","Parochońsk","miejscowość (Białoruś) obwód brzeski [52°13'40' N, 26°27'20' E]",52.227777777777774,26.455555555555556
"Q146349","Peliszcze","miejscowość (Białoruś) obwód brzeski [52°19'00' N, 23°55'10' E]",52.31666666666667,23.919444444444444
"Q146355","Płotnica","miejscowość (Białoruś) obwód brzeski [52°03'00' N, 26°38'20' E]",52.05,26.63888888888889
"Q146352","Pierszamajska","miejscowość (Białoruś) obwód brzeski [52°31'50' N, 24°53'50' E]",52.53055555555556,24.897222222222222
"Q146352","Błudeń","miejscowość (Białoruś) obwód brzeski [52°31'50' N, 24°53'50' E]",52.53055555555556,24.897222222222222
"Q146353","Pinkowicze","miejscowość (Białoruś) obwód brzeski [52°08'20' N, 26°10'00' E]",52.138888888888886,26.166666666666668
"Q146356","Poczapów","miejscowość (Białoruś) obwód brzeski [53°21'50' N, 25°49'15' E]",53.36388888888889,25.820833333333333
"Q146357","Podkrajcze","miejscowość (Białoruś) obwód brzeski [52°26'00' N, 24°43'00' E]",52.43333333333333,24.716666666666665
"Q146500","Kruja","miejscowość (Albania) [41°30'40' N, 19°47'30' E]",41.51111111111111,19.791666666666668
"Q146501","Saranda","miejscowość (Albania) [39°52'30' N, 20°00'20' E]",39.875,20.005555555555556
"Q146510","Bruksela","miejscowość (Belgia) [50°51'00' N, 4°21'00' E]",50.85,4.35
"Q146511","Gandawa","miejscowość (Belgia) [51°03'00' N, 3°43'30' E]",51.05,3.725
"Q146509","Brugia","miejscowość (Belgia) [51°12'30' N, 3°13'30' E]",51.208333333333336,3.225
"Q146512","Ostenda","miejscowość (Belgia) [51°13'00' N, 2°54'00' E]",51.21666666666667,2.9
"Q147854","Czeszczewlany","część miejscowości, osiedla ludzkiego (Białoruś [53°44'10' N, 23°54'10' E])",53.736111111111114,23.90277777777778
"Q147855","Dziewiatówka","część miejscowości, osiedla ludzkiego (Białoruś [53°42'30' N, 23°50'30' E])",53.708333333333336,23.841666666666665
"Q147858","Górne Miasto","część miejscowości, osiedla ludzkiego (Białoruś [53°54'10' N, 27°33'20' E])",53.90277777777778,27.555555555555557
"Q147859","Grandzicze","część miejscowości, osiedla ludzkiego (Białoruś [53°43'40' N, 23°49'00' E])",53.727777777777774,23.816666666666666
"Q147857","Gierszony","część miejscowości, osiedla ludzkiego (Białoruś [52°02'50' N, 23°42'30' E])",52.047222222222224,23.708333333333332
"Q147862","Łajkowszczyzna","część miejscowości, osiedla ludzkiego (Białoruś [53°52'40' N, 25°20'10' E])",53.87777777777778,25.336111111111112
"Q147863","Łapienki","część miejscowości, osiedla ludzkiego (Białoruś [53°43'10' N, 23°51'00' E])",53.71944444444444,23.85
"Q147861","Kołoża","część miejscowości, osiedla ludzkiego (Białoruś [53°40'50' N, 23°49'00' E])",53.68055555555556,23.816666666666666
"Q147864","Łosośna","część miejscowości, osiedla ludzkiego (Białoruś [53°40'20' N, 23°46'30' E])",53.672222222222224,23.775
"Q147866","Małachowicze","część miejscowości, osiedla ludzkiego (Białoruś [53°37'40' N, 23°50'30' E])",53.62777777777778,23.841666666666665
"Q147865","Łosośna","część miejscowości, osiedla ludzkiego (Białoruś [53°39'20' N, 23°48'50' E])",53.65555555555556,23.81388888888889
"Q147867","Mały Trościeniec","część miejscowości, osiedla ludzkiego (Białoruś [53°50'10' N, 27°42'45' E])",53.83611111111111,27.7125
"Q147870","Nowoprudce","część miejscowości, osiedla ludzkiego (Białoruś [53°52'00' N, 25°19'20' E])",53.86666666666667,25.322222222222223
"Q147868","Małyszczyzna","część miejscowości, osiedla ludzkiego (Białoruś [53°42'30' N, 23°52'00' E])",53.708333333333336,23.866666666666667
"Q147869","Mereczowszczyzna","część miejscowości, osiedla ludzkiego (Białoruś [52°46'02' N, 25°07'32' E])",52.76722222222222,25.125555555555554
"Q147871","Okińczyce","część miejscowości, osiedla ludzkiego (Białoruś [53°27'50' N, 26°46'35' E])",53.46388888888889,26.77638888888889
"Q147872","Olszymowo","część miejscowości, osiedla ludzkiego (Białoruś [53°10'30' N, 24°26'40' E])",53.175,24.444444444444443
"Q147875","Puhaczewo","część miejscowości, osiedla ludzkiego (Białoruś [52°04'20' N, 23°46'00' E])",52.07222222222222,23.766666666666666
"Q147873","Podworna","część miejscowości, osiedla ludzkiego (Białoruś [53°24'05' N, 24°31'40' E])",53.40138888888889,24.52777777777778
"Q147881","Zaniemeńsk","część miejscowości, osiedla ludzkiego (Białoruś [53°24'40' N, 24°31'10' E])",53.41111111111111,24.519444444444446
"Q147884","Zelwiany","część miejscowości, osiedla ludzkiego (Białoruś [53°23'50' N, 24°32'10' E])",53.397222222222226,24.53611111111111
"Q145049","Łazy","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°19'55' N, 24°21'30' E]",53.331944444444446,24.358333333333334
"Q145042","Kamienica","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°01'13' N, 24°30'00' E]",53.02027777777778,24.5
"Q145027","Biskupice","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°10'20' N, 24°32'00' E]",53.172222222222224,24.533333333333335
"Q145038","Izabelin","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°05'40' N, 24°33'00' E]",53.09444444444444,24.55
"Q145036","Gniezno","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°07'20' N, 24°20'40' E]",53.12222222222222,24.344444444444445
"Q145089","Bojary","miejscowość (Białoruś) obwód grodzieński, rejon werenowski [54°10'05' N, 25°18'10' E]",54.168055555555554,25.302777777777777
"Q145092","Brzozówka","miejscowość (Białoruś) obwód grodzieński, rejon werenowski [53°53'40' N, 24°56'20' E]",53.894444444444446,24.93888888888889
"Q145029","Daniłowce","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°19'40' N, 24°25'30' E]",53.327777777777776,24.425
"Q145030","Drohiczany","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°06'20' N, 24°35'50' E]",53.105555555555554,24.59722222222222
"Q145031","Dubicze","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [52°58'25' N, 24°36'30' E]",52.97361111111111,24.608333333333334
"Q145013","Dworzec","miejscowość (Białoruś) obwód grodzieński, rejon zdzięcielski [53°24'25' N, 25°34'15' E]",53.40694444444444,25.570833333333333
"Q145039","Janowicze","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°11'40' N, 24°13'40' E]",53.19444444444444,24.227777777777778
"Q145045","Koniuchy","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°00'15' N, 24°39'05' E]",53.00416666666667,24.65138888888889
"Q145047","Krzywonosy","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°18'45' N, 24°19'15' E]",53.3125,24.320833333333333
"Q145056","Nowe Sioło","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°15'45' N, 24°21'35' E]",53.2625,24.35972222222222
"Q145057","Nowosiółki","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°16'20' N, 24°27'15' E]",53.272222222222226,24.454166666666666
"Q145060","Plebanowce","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°20'00' N, 24°24'35' E]",53.333333333333336,24.40972222222222
"Q145063","Pohorany","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°14'45' N, 24°29'40' E]",53.24583333333333,24.494444444444444
"Q145072","Studzieniec","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°17'50' N, 24°24'35' E]",53.297222222222224,24.40972222222222
"Q145048","Kukiełki","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°08'55' N, 24°08'30' E]",53.14861111111111,24.141666666666666
"Q145023","Wiązowiec","miejscowość (Białoruś) obwód grodzieński, rejon zdzięcielski [53°25'15' N, 25°19'50' E]",53.420833333333334,25.330555555555556
"Q145008","Zadworze","miejscowość (Białoruś) obwód grodzieński, rejon zelwieński [53°13'35' N, 24°40'00' E]",53.22638888888889,24.666666666666668
"Q145010","Zelwa","miejscowość (Białoruś) obwód grodzieński, rejon zelwieński [53°09'00' N, 24°49'00' E]",53.15,24.816666666666666
"Q145086","Zubowszczyzna","miejscowość (Białoruś) obwód grodzieński, rejon wołkowyski [53°14'00' N, 24°13'25' E]",53.233333333333334,24.22361111111111
"Q145095","Dajnowa","miejscowość (Białoruś) obwód grodzieński, rejon werenowski [54°03'55' N, 25°24'00' E]",54.06527777777778,25.4
"Q145096","Dajnowa","miejscowość (Białoruś) obwód grodzieński, rejon werenowski [54°10'55' N, 25°22'35' E]",54.18194444444445,25.37638888888889
